features,run_id,MAE,DenormMAE,MSE,DenormMSE,RMSE,DenormRMSE
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,3,0.015299,2.429351,0.002014,51.5572,0.019654,3.12085
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_lecture_studyarea,4,0.014928,2.372163,0.002037,52.28515,0.01947,3.093289
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,0,0.01534,2.436109,0.002018,51.798145,0.01984,3.150768
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,1,0.015291,2.43316,0.00212,54.784687,0.019797,3.150198
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,2,0.01537,2.444457,0.002053,52.790077,0.019799,3.147266
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,3,0.015254,2.424048,0.002104,54.094864,0.019702,3.130684
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered,4,0.015513,2.466456,0.002398,61.8742,0.019911,3.166088
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,0,0.016854,2.675298,0.002427,62.219868,0.021568,3.422183
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,1,0.015532,2.464628,0.002013,51.496307,0.019979,3.169422
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,2,0.015254,2.423797,0.001994,51.17653,0.019726,3.134399
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,3,0.015154,2.406868,0.002133,54.77756,0.019604,3.114289
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture,4,0.015266,2.425534,0.001993,51.126858,0.019692,3.129086
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,0,0.017047,2.707123,0.002515,64.713234,0.021607,3.429318
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,1,0.015392,2.443614,0.002071,52.994694,0.019692,3.125821
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,2,0.017308,2.749274,0.002492,64.17618,0.02193,3.481448
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,3,0.01611,2.560237,0.002396,61.61702,0.02071,3.289562
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_lecture_studyarea,4,0.015659,2.484018,0.002019,51.519016,0.019906,3.157123
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,0,0.015813,2.511131,0.002144,55.008003,0.020026,3.179396
occrate_avgocc_coursenumber_dow_hod_tutorium_test_cancelled_registered_studyarea,1,0.016078,2.555044,0.002578,66.46137,0.020624,3.27577
