in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type,datetime
0,7,33,33,0,0,0,2024-04-08 13:28:37
0,47,27,40,0,0,0,2024-04-08 13:28:38
0,7,25,26,0,0,0,2024-04-08 13:28:42
0,15,50,49,1,0,0,2024-04-08 13:28:43
0,5,44,40,0,0,0,2024-04-08 13:28:45
0,9,35,31,0,0,0,2024-04-08 13:28:46
0,5,61,51,0,0,0,2024-04-08 13:28:50
0,6,44,33,0,0,0,2024-04-08 13:28:51
0,9,39,35,0,0,0,2024-04-08 13:28:52
0,0,306,183,0,0,0,2024-04-08 13:28:57
0,37,77,110,0,0,0,2024-04-08 13:29:00
29,0,17,83,0,0,1,2024-04-08 13:29:02
0,0,80,82,0,0,1,2024-04-08 13:29:03
44,0,92,86,0,0,1,2024-04-08 13:29:05
0,5,26,26,0,1,0,2024-04-08 13:29:07
0,4,33,33,0,1,0,2024-04-08 13:29:09
0,10,33,38,0,1,0,2024-04-08 13:29:10
0,21,51,60,0,0,0,2024-04-08 13:29:14
0,10,52,51,0,0,0,2024-04-08 13:29:15
0,0,84,134,0,1,0,2024-04-08 13:29:19
0,0,61,147,0,1,0,2024-04-08 13:29:23
0,0,246,342,0,0,0,2024-04-08 13:29:29
0,13,38,29,0,0,0,2024-04-08 13:29:31
0,12,36,40,0,0,0,2024-04-08 13:29:33
5,16,46,60,0,0,0,2024-04-08 13:29:34
0,26,36,57,0,1,0,2024-04-08 13:29:34
0,27,100,90,0,0,0,2024-04-08 13:29:36
0,20,56,60,0,0,0,2024-04-08 13:29:38
0,46,38,36,0,0,0,2024-04-08 13:29:39
0,8,36,39,0,1,0,2024-04-08 13:29:40
0,5,29,32,0,1,0,2024-04-08 13:29:40
0,5,32,34,0,1,0,2024-04-08 13:29:42
0,2,44,62,0,1,0,2024-04-08 13:29:51
11,0,14,48,0,1,1,2024-04-08 13:29:52
0,29,77,85,0,0,0,2024-04-08 13:29:53
0,13,29,32,0,0,0,2024-04-08 13:29:54
8,0,289,314,0,0,1,2024-04-08 13:30:08
0,7,41,43,0,1,0,2024-04-08 13:30:16
0,12,50,59,0,1,0,2024-04-08 13:30:24
155,0,223,77,0,1,1,2024-04-08 13:30:35
0,6,28,24,0,1,0,2024-04-08 13:30:50
0,11,44,51,0,1,0,2024-04-08 13:30:51
3,0,45,49,0,1,1,2024-04-08 13:31:00
15,0,168,204,0,1,1,2024-04-08 13:31:04
6,0,74,76,0,1,1,2024-04-08 13:31:10
9,0,61,64,0,1,1,2024-04-08 13:31:11
8,0,94,97,0,1,1,2024-04-08 13:31:13
0,14,26,28,1,0,0,2024-04-08 13:31:32
0,36,67,90,0,0,0,2024-04-08 13:31:32
0,12,47,38,1,0,0,2024-04-08 13:31:36
0,10,23,24,1,0,0,2024-04-08 13:31:38
0,20,44,48,1,0,0,2024-04-08 13:31:39
0,12,119,118,0,0,0,2024-04-08 13:31:40
0,24,65,79,0,1,0,2024-04-08 13:31:42
0,8,36,37,0,1,0,2024-04-08 13:31:44
0,35,69,83,1,0,0,2024-04-08 13:31:44
0,7,49,29,1,0,0,2024-04-08 13:31:48
0,19,32,65,1,0,0,2024-04-08 13:31:49
0,11,37,38,1,0,0,2024-04-08 13:31:50
0,20,59,56,1,0,0,2024-04-08 13:31:51
0,3,44,39,1,0,0,2024-04-08 13:31:54
0,6,48,37,1,0,0,2024-04-08 13:31:57
0,5,33,23,1,0,0,2024-04-08 13:32:00
0,10,51,50,1,0,0,2024-04-08 13:32:03
0,11,41,43,1,0,0,2024-04-08 13:32:04
0,7,65,60,1,0,0,2024-04-08 13:32:06
0,9,48,39,1,0,0,2024-04-08 13:32:09
0,7,19,16,1,0,0,2024-04-08 13:32:12
13,0,63,55,1,0,1,2024-04-08 13:32:23
17,0,43,31,1,0,1,2024-04-08 13:32:24
7,43,63,62,1,0,0,2024-04-08 13:32:26
27,0,92,81,1,0,1,2024-04-08 13:32:28
0,40,91,92,1,0,0,2024-04-08 13:32:30
0,8,30,30,1,0,0,2024-04-08 13:32:34
0,7,25,23,1,0,0,2024-04-08 13:32:37
15,0,66,64,1,0,1,2024-04-08 13:33:10
0,31,179,196,1,1,0,2024-04-08 13:33:11
0,3,33,28,1,1,0,2024-04-08 13:33:14
2,0,86,94,0,1,1,2024-04-08 13:33:23
29,0,84,75,0,0,1,2024-04-08 13:33:27
0,7,16,18,0,0,0,2024-04-08 13:33:29
5,0,57,62,1,0,1,2024-04-08 13:33:55
16,0,83,86,0,0,1,2024-04-08 13:34:06
0,21,85,85,0,0,0,2024-04-08 13:35:44
17,0,84,143,0,0,1,2024-04-08 13:35:59
0,0,86,168,1,0,1,2024-04-08 13:36:17
65,0,255,249,1,0,1,2024-04-08 13:36:22
0,14,38,39,1,0,0,2024-04-08 13:36:57
10,0,26,25,1,0,1,2024-04-08 13:37:00
21,0,65,55,0,0,1,2024-04-08 13:37:13
0,0,110,214,0,0,1,2024-04-08 13:37:16
20,0,92,92,0,0,1,2024-04-08 13:37:52
12,0,49,41,1,0,1,2024-04-08 13:38:08
23,0,41,27,1,0,1,2024-04-08 13:38:12
23,0,49,33,0,0,1,2024-04-08 13:38:25
12,0,84,84,0,0,1,2024-04-08 13:38:28
14,0,67,59,0,0,1,2024-04-08 13:38:30
0,6,25,27,0,1,0,2024-04-08 13:39:01
53,0,73,34,1,0,1,2024-04-08 13:40:03
44,0,103,86,1,0,1,2024-04-08 13:40:15
9,0,45,42,0,1,1,2024-04-08 13:40:15
3,0,68,69,0,1,1,2024-04-08 13:40:16
20,0,58,44,0,1,1,2024-04-08 13:40:19
21,0,48,47,0,0,1,2024-04-08 13:41:28
9,0,26,27,0,0,1,2024-04-08 13:41:38
0,39,58,81,0,0,0,2024-04-08 13:41:58
9,0,52,49,0,0,1,2024-04-08 13:43:15
14,0,18,55,0,0,1,2024-04-08 13:43:29
4,0,199,222,0,0,1,2024-04-08 13:45:09
53,0,124,111,0,0,1,2024-04-08 13:45:25
0,8,73,62,0,0,0,2024-04-08 13:46:21
