datetime,occcount,occrate,occcountdiff,occratediff,lecture,maxoccrate,lecturerampafter,lecturerampbefore,test,maxoccrateestimate,exam,tutorium,registered,coursenumber,maxocccount,maxocccountestimate,VL,UE,KS,hod1,hod2,dow1,dow2,week1,week2,holiday,zwickltag,occcount1week,occrate1week,occcount1day,occrate1day,occcountdiff1week,occcountdiff1day,occratediff1week,occratediff1day
2024-04-10 12:00:00,10.0,0.06097560975609756,-31.0,-0.18902439024390244,1,0.06097560975609756,0,0,0,-1.0,0,0,132,258.300,10,0,1,0,0,0.5000000000000001,0.0,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,29.0,0.17682926829268292,-1.0,-12.0,-1.0,-0.07317073170731708
2024-04-10 13:00:00,10.0,0.06097560975609756,0.0,0.0,1,0.06097560975609756,0,0,0,-1.0,0,0,132,258.300,10,0,1,0,0,0.37059047744873985,0.01703708685546579,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,34.0,0.2073170731707317,-1.0,5.0,-1.0,0.03048780487804878
2024-04-10 14:00:00,18.0,0.10975609756097561,8.0,0.04878048780487805,1,0.10975609756097561,0,0,0,-1.0,0,0,152,257.200,18,0,1,0,0,0.24999999999999994,0.0669872981077807,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,23.0,0.1402439024390244,-1.0,-11.0,-1.0,-0.0670731707317073
2024-04-10 15:00:00,12.0,0.07317073170731707,-6.0,-0.03658536585365854,1,0.10975609756097561,0,0,0,-1.0,0,0,152,257.200,18,0,1,0,0,0.14644660940672627,0.14644660940672616,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,23.0,0.1402439024390244,-1.0,0.0,-1.0,0.0
2024-04-10 16:00:00,20.0,0.12195121951219512,8.0,0.04878048780487805,1,0.12195121951219512,0,0,0,-1.0,0,0,77,"257.211,257.213,257.214",20,0,0,1,0,0.06698729810778081,0.24999999999999978,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,15.0,0.09146341463414634,-1.0,-8.0,-1.0,-0.048780487804878064
2024-04-10 17:00:00,11.0,0.06707317073170732,-9.0,-0.0548780487804878,1,0.2073170731707317,0,0,0,-1.0,0,0,77,"257.211,257.213,257.214",34,0,0,1,0,0.017037086855465844,0.3705904774487397,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,15.0,0.09146341463414634,-1.0,0.0,-1.0,0.0
2024-04-10 18:00:00,34.0,0.2073170731707317,23.0,0.14024390243902438,1,0.2073170731707317,0,0,0,-1.0,0,0,154,256.600,34,0,0,0,1,0.0,0.4999999999999999,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,-15.0,-1.0,-0.09146341463414634
2024-04-10 19:00:00,0.0,0.0,-34.0,-0.2073170731707317,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.01703708685546579,0.6294095225512601,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0
2024-04-10 20:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.0669872981077807,0.75,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,1.0,0.006097560975609756,-1.0,1.0,-1.0,0.006097560975609756
2024-04-10 21:00:00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,,0,0,0,0,0,0.14644660940672616,0.8535533905932737,0.9874639560909118,0.38873953302184283,0.985470908713026,0.38034216785622127,0,0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-0.006097560975609756
