IK,KS,KV,RE,UE,UV,VL,VO,VU,calendarweek,calendarweek1,calendarweek2,coursenumber,exam,occount,occrate,registered,roomid,starttime,starttime1,starttime2,test,tutorium,weekday,weekday1,weekday2
0,0,0,0,0,1,0,0,0,20,0.6631226582407952,-0.7485107481711012,531.242,False,0,0,28,1,2024-05-16 13:45:00,-0.4422886902190011,-0.8968727415326884,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,1,0,0,0,20,0.6631226582407952,-0.7485107481711012,531.240,False,0,0,60,1,2024-05-16 14:30:00,-0.6087614290087203,-0.7933533402912354,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,0,1,0,20,0.6631226582407952,-0.7485107481711012,339.170,False,0,0,216,1,2024-05-16 15:30:00,-0.7933533402912349,-0.6087614290087209,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,1,0,0,0,0,0,0,20,0.6631226582407952,-0.7485107481711012,190.300,False,0,0,118,1,2024-05-16 17:15:00,-0.9807852804032303,-0.19509032201612866,False,False,Do.,0.43388373911755823,-0.900968867902419
0,0,0,0,0,0,1,0,0,21,0.5680647467311558,-0.8229838658936564,150.031,True,0,0,62,0,2024-05-21 16:15:00,-0.8968727415326883,-0.44228869021900136,False,False,Di.,0.7818314824680298,0.6234898018587336
0,0,0,0,0,0,1,0,0,21,0.5680647467311558,-0.8229838658936564,371.000,False,0,0,148,0,2024-05-22 08:30:00,0.7933533402912352,-0.6087614290087207,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,0,1,0,21,0.5680647467311558,-0.8229838658936564,531.170,False,0,0,97,0,2024-05-22 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,0,1,0,21,0.5680647467311558,-0.8229838658936564,325.004,False,0,0,20,0,2024-05-22 10:15:00,0.4422886902190013,-0.8968727415326883,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,1,0,0,0,0,0,0,21,0.5680647467311558,-0.8229838658936564,259.022,False,0,0,62,1,2024-05-22 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mi.,0.9749279121818236,-0.22252093395631434
0,0,0,0,0,0,1,0,0,21,0.5680647467311558,-0.8229838658936564,258.300,False,0,0,132,0,2024-05-22 12:00:00,1.2246467991473532e-16,-1.0,False,False,Mi.,0.9749279121818236,-0.22252093395631434
