course_number,room,start_time,end_time,room_capacity,note
257.214,HS 18,2024-05-08 15:30:00,2024-05-08 17:00:00,164,
257.213,HS 18,2024-05-08 15:30:00,2024-05-08 17:00:00,164,
257.211,HS 18,2024-05-08 15:30:00,2024-05-08 17:00:00,164,
256.600,HS 18,2024-05-08 17:15:00,2024-05-08 18:45:00,164,Vertiefungsthema Agilität (letztes Kapitel der Hauptunterlage)
238.302,HS 19,2024-05-13 10:15:00,2024-05-13 11:45:00,152,
231.115,HS 19,2024-05-13 12:00:00,2024-05-13 13:30:00,152,
258.410,HS 18,2024-05-13 12:00:00,2024-05-13 13:30:00,164,Deep Learning
136.309,HS 18,2024-05-13 13:45:00,2024-05-13 15:15:00,164,
190.035,HS 19,2024-05-13 13:45:00,2024-05-13 15:15:00,152,ABGESAGT!!!
238.213,HS 18,2024-05-13 15:30:00,2024-05-13 17:00:00,164,
360.001,HS 18,2024-05-13 17:15:00,2024-05-13 18:45:00,164,Tutorium
366.560,HS 19,2024-05-14 08:30:00,2024-05-14 10:00:00,152,
361.001,HS 18,2024-05-14 08:30:00,2024-05-14 10:00:00,164,
340.100,HS 18,2024-05-14 10:15:00,2024-05-14 11:45:00,164,
360.001,HS 19,2024-05-14 10:15:00,2024-05-14 11:45:00,152,
382.037,HS 19,2024-05-14 12:00:00,2024-05-14 15:15:00,152,
259.002,HS 18,2024-05-14 12:00:00,2024-05-14 13:30:00,164,"Präsenztermin, Video Einheit: Dateien, Module, Bibliotheken I"
364.000,HS 18,2024-05-14 13:45:00,2024-05-14 15:15:00,164,Global Illumination II: Radiosity
340.400,HS 18,2024-05-14 15:30:00,2024-05-14 17:00:00,164,
229.054,HS 19,2024-05-14 15:30:00,2024-05-14 18:00:00,152,
231.117,HS 19,2024-05-15 08:30:00,2024-05-15 10:00:00,152,
371.000,HS 18,2024-05-15 08:30:00,2024-05-15 10:00:00,164,
531.170,HS 18,2024-05-15 10:15:00,2024-05-15 11:45:00,164,
325.004,HS 18,2024-05-15 10:15:00,2024-05-15 11:45:00,164,
327.029,HS 19,2024-05-15 10:15:00,2024-05-15 11:45:00,152,
259.022,HS 19,2024-05-15 12:00:00,2024-05-15 14:30:00,152,"Architecture Styles, Component-Based SA"
258.300,HS 18,2024-05-15 12:00:00,2024-05-15 13:30:00,164,DBS: Deductive DBS; KBS: Introduction
257.200,HS 18,2024-05-15 13:45:00,2024-05-15 15:15:00,164,
365.232,HS 19,2024-05-15 14:30:00,2024-05-15 15:15:00,152,
371.000,HS 18,2024-05-16 08:30:00,2024-05-16 10:00:00,164,
358.001,HS 19,2024-05-16 08:30:00,2024-05-16 10:00:00,152,
531.120,HS 18,2024-05-16 10:15:00,2024-05-16 11:45:00,164,
327.029,HS 19,2024-05-16 10:15:00,2024-05-16 11:45:00,152,
531.120,HS 18,2024-05-16 12:00:00,2024-05-16 13:30:00,164,Tutorium / Fragestunde
531.241,HS 19,2024-05-16 13:45:00,2024-05-16 14:30:00,152,
531.240,HS 19,2024-05-16 13:45:00,2024-05-16 14:30:00,152,
531.208,HS 18,2024-05-16 13:45:00,2024-05-16 15:15:00,164,
531.242,HS 19,2024-05-16 13:45:00,2024-05-16 14:30:00,152,
531.240,HS 19,2024-05-16 14:30:00,2024-05-16 15:15:00,152,
339.170,HS 19,2024-05-16 15:30:00,2024-05-16 17:00:00,152,
190.300,HS 19,2024-05-16 17:15:00,2024-05-16 19:45:00,152,Besprechung HA - Sachenrecht
243.115,HS 18,2024-05-17 08:30:00,2024-05-17 11:45:00,164,
150.031,HS 18,2024-05-21 16:15:00,2024-05-21 17:15:00,164,Klausur
327.029,HS 19,2024-05-22 08:30:00,2024-05-22 10:00:00,152,
371.000,HS 18,2024-05-22 08:30:00,2024-05-22 10:00:00,164,
327.029,HS 19,2024-05-22 10:15:00,2024-05-22 11:45:00,152,
531.170,HS 18,2024-05-22 10:15:00,2024-05-22 11:45:00,164,
325.004,HS 18,2024-05-22 10:15:00,2024-05-22 11:45:00,164,
258.300,HS 18,2024-05-22 12:00:00,2024-05-22 13:30:00,164,"KBS: Logic-based Knowl. Repr & Reas, Heuristic Search, Gen. Algo."
259.022,HS 19,2024-05-22 12:00:00,2024-05-22 14:30:00,152,Distributed and Client/Server Software Architecture
365.232,HS 19,2024-05-22 14:30:00,2024-05-22 15:15:00,152,
256.600,HS 18,2024-05-22 17:15:00,2024-05-22 18:45:00,164,"Flipped Classroom - Selbststudium (Videos zu Media Ecology), siehe Mail"
358.001,HS 19,2024-05-23 08:30:00,2024-05-23 10:00:00,152,
371.000,HS 18,2024-05-23 08:30:00,2024-05-23 10:00:00,164,
531.120,HS 18,2024-05-23 10:15:00,2024-05-23 11:45:00,164,
327.029,HS 19,2024-05-23 10:15:00,2024-05-23 11:45:00,152,
531.120,HS 18,2024-05-23 12:00:00,2024-05-23 13:30:00,164,Tutorium / Fragestunde
531.241,HS 19,2024-05-23 13:45:00,2024-05-23 14:30:00,152,
531.208,HS 18,2024-05-23 13:45:00,2024-05-23 15:15:00,164,
531.242,HS 19,2024-05-23 13:45:00,2024-05-23 14:30:00,152,
531.240,HS 19,2024-05-23 13:45:00,2024-05-23 14:30:00,152,
531.240,HS 19,2024-05-23 14:30:00,2024-05-23 15:15:00,152,
531.240,HS 18,2024-05-23 15:30:00,2024-05-23 16:15:00,164,1. Nachtest
339.170,HS 19,2024-05-23 15:30:00,2024-05-23 17:00:00,152,
531.241,HS 18,2024-05-23 15:30:00,2024-05-23 16:15:00,164,1. Nachtest
531.242,HS 18,2024-05-23 15:30:00,2024-05-23 16:15:00,164,1. Nachtest
190.300,HS 19,2024-05-23 17:15:00,2024-05-23 19:45:00,152,Rechtsformen Unternehmen
362.064,HS 19,2024-05-24 08:30:00,2024-05-24 10:00:00,152,Synchronmaschine 1 (Krainer)
