features,run_id,test_loss,val_loss
occrate_avgocc_coursenumber_dow_hod_type_lecture,1,0.015671,0.008546
occrate_avgocc_coursenumber_dow_hod_type_lecture,2,0.016996,0.008987
occrate_avgocc_coursenumber_dow_hod_type_lecture,3,0.01666,0.008929
occrate_avgocc_coursenumber_dow_hod_type_lecture,4,0.01628,0.008492
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,0,0.015817,0.009527
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,1,0.016048,0.008515
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,2,0.016848,0.009435
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,3,0.015672,0.008893
occrate_avgocc_coursenumber_dow_hod_type_lecture_studyarea,4,0.015807,0.00885
occrate_avgocc_coursenumber_dow_hod_type_registered,0,0.01591,0.00832
occrate_avgocc_coursenumber_dow_hod_type_registered,1,0.016215,0.008291
occrate_avgocc_coursenumber_dow_hod_type_registered,2,0.016568,0.008662
occrate_avgocc_coursenumber_dow_hod_type_registered,3,0.015418,0.008447
occrate_avgocc_coursenumber_dow_hod_type_registered,4,0.01616,0.008637
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,0,0.016102,0.008406
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,1,0.015788,0.008412
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,2,0.015575,0.008629
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,3,0.015749,0.007902
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture,4,0.016353,0.00872
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,0,0.016766,0.008788
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,1,0.015262,0.009084
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,2,0.015736,0.008819
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,3,0.01646,0.008296
occrate_avgocc_coursenumber_dow_hod_type_registered_lecture_studyarea,4,0.015654,0.008998
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,0,0.015928,0.009131
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,1,0.015519,0.008673
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,2,0.01568,0.008391
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,3,0.017198,0.008547
occrate_avgocc_coursenumber_dow_hod_type_registered_studyarea,4,0.015534,0.008981
occrate_avgocc_coursenumber_dow_hod_type_studyarea,0,0.016746,0.0087
occrate_avgocc_coursenumber_dow_hod_type_studyarea,1,0.016216,0.008812
occrate_avgocc_coursenumber_dow_hod_type_studyarea,2,0.016169,0.008676
occrate_avgocc_coursenumber_dow_hod_type_studyarea,3,0.015979,0.008956
occrate_avgocc_coursenumber_dow_hod_type_studyarea,4,0.016404,0.008728
occrate_avgocc_coursenumber_dow_lecture,0,0.016311,0.008166
occrate_avgocc_coursenumber_dow_lecture,1,0.016318,0.008155
occrate_avgocc_coursenumber_dow_lecture,2,0.01586,0.008187
occrate_avgocc_coursenumber_dow_lecture,3,0.016504,0.008118
occrate_avgocc_coursenumber_dow_lecture,4,0.01535,0.008239
occrate_avgocc_coursenumber_dow_lecture_studyarea,0,0.016328,0.008512
occrate_avgocc_coursenumber_dow_lecture_studyarea,1,0.016883,0.008813
occrate_avgocc_coursenumber_dow_lecture_studyarea,2,0.016697,0.008691
occrate_avgocc_coursenumber_dow_lecture_studyarea,3,0.016361,0.008561
occrate_avgocc_coursenumber_dow_lecture_studyarea,4,0.016138,0.008547
occrate_avgocc_coursenumber_dow_registered,0,0.016586,0.007852
occrate_avgocc_coursenumber_dow_registered,1,0.016766,0.008166
occrate_avgocc_coursenumber_dow_registered,2,0.016565,0.007993
occrate_avgocc_coursenumber_dow_registered,3,0.016214,0.008336
occrate_avgocc_coursenumber_dow_registered,4,0.016159,0.008097
occrate_avgocc_coursenumber_dow_registered_lecture,0,0.01537,0.008111
occrate_avgocc_coursenumber_dow_registered_lecture,1,0.015634,0.007767
occrate_avgocc_coursenumber_dow_registered_lecture,2,0.016486,0.008131
occrate_avgocc_coursenumber_dow_registered_lecture,3,0.016187,0.007938
occrate_avgocc_coursenumber_dow_registered_lecture,4,0.015653,0.007834
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,0,0.016498,0.008466
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,1,0.016322,0.008742
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,2,0.016371,0.008658
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,3,0.017619,0.008491
occrate_avgocc_coursenumber_dow_registered_lecture_studyarea,4,0.016421,0.008504
occrate_avgocc_coursenumber_dow_registered_studyarea,0,0.01681,0.008838
occrate_avgocc_coursenumber_dow_registered_studyarea,1,0.016608,0.008291
occrate_avgocc_coursenumber_dow_registered_studyarea,2,0.017334,0.008802
occrate_avgocc_coursenumber_dow_registered_studyarea,3,0.016389,0.008351
occrate_avgocc_coursenumber_dow_registered_studyarea,4,0.017327,0.008346
occrate_avgocc_coursenumber_dow_studyarea,0,0.016831,0.008889
occrate_avgocc_coursenumber_dow_studyarea,1,0.016025,0.008649
occrate_avgocc_coursenumber_dow_studyarea,2,0.016447,0.008538
occrate_avgocc_coursenumber_dow_studyarea,3,0.015545,0.008385
occrate_avgocc_coursenumber_dow_studyarea,4,0.017168,0.008908
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,0,0.016005,0.008168
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,1,0.015855,0.008071
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,2,0.016468,0.008352
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,3,0.015358,0.008118
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled,4,0.016146,0.007904
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture,0,0.016588,0.008265
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture,1,0.015496,0.008044
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture,2,0.015417,0.008264
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture,3,0.016134,0.008708
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture,4,0.015855,0.008404
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture_studyarea,0,0.015644,0.008708
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture_studyarea,1,0.015961,0.009139
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture_studyarea,2,0.017389,0.009003
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture_studyarea,3,0.015208,0.008756
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_lecture_studyarea,4,0.015418,0.008706
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered,0,0.016026,0.008472
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered,1,0.015747,0.008495
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered,2,0.015903,0.008241
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered,3,0.016169,0.007872
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered,4,0.016539,0.008376
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture,0,0.015212,0.007792
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture,1,0.016266,0.008477
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture,2,0.016152,0.008497
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture,3,0.015579,0.008099
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture,4,0.015385,0.007997
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture_studyarea,0,0.015658,0.008706
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture_studyarea,1,0.016238,0.00825
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture_studyarea,2,0.017232,0.007925
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture_studyarea,3,0.014687,0.008535
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_lecture_studyarea,4,0.015064,0.008449
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_studyarea,0,0.015806,0.0081
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_studyarea,1,0.015458,0.00877
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_studyarea,2,0.015902,0.008478
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_studyarea,3,0.015548,0.008303
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_registered_studyarea,4,0.016092,0.00867
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_studyarea,0,0.016392,0.008162
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_studyarea,1,0.01562,0.008206
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_studyarea,2,0.015691,0.008788
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_studyarea,3,0.015912,0.008827
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_studyarea,4,0.016082,0.008669
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type,0,0.014768,0.008381
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type,1,0.015196,0.00871
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type,2,0.014514,0.008426
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type,3,0.015364,0.008566
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type,4,0.015649,0.008443
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture,0,0.015593,0.008902
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture,1,0.015769,0.008419
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture,2,0.015249,0.008632
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture,3,0.015559,0.008336
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture,4,0.014316,0.008963
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture_studyarea,0,0.015614,0.008955
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture_studyarea,1,0.015938,0.008583
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture_studyarea,2,0.016195,0.008787
occrate_avgocc_coursenumber_dow_tutorium_test_cancelled_type_lecture_studyarea,3,0.015597,0.009424
